KBinMemory,ArraySize,SearchRepetitions,StartTime,PopulateTime,SearchTime,TotalTime
1024,131072,110000000,1734530062355,6,1776,1782
10240,1310720,110000000,1734529662735,20,4103,4123
20480,2621440,110000000,1734529695817,32,4968,5000
30720,3932160,110000000,1734529722266,46,5316,5362
40960,5242880,110000000,1734529739950,60,5594,5654
51200,6553600,110000000,1734529758307,78,5456,5534
61440,7864320,110000000,1734529781276,86,5630,5716
71680,9175040,110000000,1734529797225,99,5692,5791
81920,10485760,110000000,1734529814783,118,5725,5843
92160,11796480,110000000,1734529830543,126,5741,5867
102400,13107200,110000000,1734529850692,144,5758,5902
204800,26214400,110000000,1734529871866,285,6004,6289
307200,39321600,110000000,1734529888251,425,6077,6502
409600,52428800,110000000,1734529903916,578,6204,6782
512000,65536000,110000000,1734529922205,722,6200,6922
614400,78643200,110000000,1734529940479,849,6215,7064
716800,91750400,110000000,1734529956353,1009,6251,7260
819200,104857600,110000000,1734529972149,1156,6246,7402
921600,117964800,110000000,1734529989888,1260,6438,7698
1048576,134217728,110000000,1734530012207,1387,6954,8341
